RandRep,Treat,Gen,CovParm,Subject,Estimate
876,1,4,"UN(6,2)",Anim(Trea*Line*Vial),-0.2348
876,1,4,"UN(6,3)",Anim(Trea*Line*Vial),-0.3082
876,1,4,"UN(6,4)",Anim(Trea*Line*Vial),-0.09868
876,1,4,"UN(6,5)",Anim(Trea*Line*Vial),-0.1955
876,1,4,"UN(6,6)",Anim(Trea*Line*Vial),0.8158
876,1,5,"UN(1,1)",Line,0.3325
876,1,5,"UN(2,1)",Line,0.04497
876,1,5,"UN(2,2)",Line,0.08355
876,1,5,"UN(3,1)",Line,-0.09195
876,1,5,"UN(3,2)",Line,-0.00891
876,1,5,"UN(3,3)",Line,0.1319
876,1,5,"UN(4,1)",Line,0.02654
876,1,5,"UN(4,2)",Line,0.05926
876,1,5,"UN(4,3)",Line,0.02559
876,1,5,"UN(4,4)",Line,0.1020
876,1,5,"UN(5,1)",Line,0.1241
876,1,5,"UN(5,2)",Line,0.08459
876,1,5,"UN(5,3)",Line,-0.06045
876,1,5,"UN(5,4)",Line,0.04765
876,1,5,"UN(5,5)",Line,0.1478
876,1,5,"UN(6,1)",Line,-0.02426
876,1,5,"UN(6,2)",Line,-0.05192
876,1,5,"UN(6,3)",Line,-0.09698
876,1,5,"UN(6,4)",Line,-0.1150
876,1,5,"UN(6,5)",Line,-0.02597
876,1,5,"UN(6,6)",Line,0.1958
876,1,5,"UN(1,1)",Vial(Treat*Line),0.09281
876,1,5,"UN(2,1)",Vial(Treat*Line),0.03906
876,1,5,"UN(2,2)",Vial(Treat*Line),0.001395
876,1,5,"UN(3,1)",Vial(Treat*Line),-0.00971
876,1,5,"UN(3,2)",Vial(Treat*Line),0.01193
876,1,5,"UN(3,3)",Vial(Treat*Line),0.01261
876,1,5,"UN(4,1)",Vial(Treat*Line),-0.02858
876,1,5,"UN(4,2)",Vial(Treat*Line),-0.04226
876,1,5,"UN(4,3)",Vial(Treat*Line),-0.00613
876,1,5,"UN(4,4)",Vial(Treat*Line),0
876,1,5,"UN(5,1)",Vial(Treat*Line),0.03784
876,1,5,"UN(5,2)",Vial(Treat*Line),0.01763
876,1,5,"UN(5,3)",Vial(Treat*Line),0.03948
876,1,5,"UN(5,4)",Vial(Treat*Line),-0.00222
876,1,5,"UN(5,5)",Vial(Treat*Line),0.03253
876,1,5,"UN(6,1)",Vial(Treat*Line),-0.01815
876,1,5,"UN(6,2)",Vial(Treat*Line),-0.04550
876,1,5,"UN(6,3)",Vial(Treat*Line),-0.03173
876,1,5,"UN(6,4)",Vial(Treat*Line),0.05982
876,1,5,"UN(6,5)",Vial(Treat*Line),-0.05887
876,1,5,"UN(6,6)",Vial(Treat*Line),0.03991
876,1,5,"UN(1,1)",Anim(Trea*Line*Vial),0.5204
876,1,5,"UN(2,1)",Anim(Trea*Line*Vial),0.1551
876,1,5,"UN(2,2)",Anim(Trea*Line*Vial),0.8402
876,1,5,"UN(3,1)",Anim(Trea*Line*Vial),-0.02941
876,1,5,"UN(3,2)",Anim(Trea*Line*Vial),-0.04115
876,1,5,"UN(3,3)",Anim(Trea*Line*Vial),0.8593
876,1,5,"UN(4,1)",Anim(Trea*Line*Vial),0.03407
876,1,5,"UN(4,2)",Anim(Trea*Line*Vial),-0.02816
876,1,5,"UN(4,3)",Anim(Trea*Line*Vial),0.06140
876,1,5,"UN(4,4)",Anim(Trea*Line*Vial),0.8599
876,1,5,"UN(5,1)",Anim(Trea*Line*Vial),0.1690
876,1,5,"UN(5,2)",Anim(Trea*Line*Vial),0.6088
876,1,5,"UN(5,3)",Anim(Trea*Line*Vial),-0.2910
876,1,5,"UN(5,4)",Anim(Trea*Line*Vial),0.04125
876,1,5,"UN(5,5)",Anim(Trea*Line*Vial),0.8068
876,1,5,"UN(6,1)",Anim(Trea*Line*Vial),-0.1003
876,1,5,"UN(6,2)",Anim(Trea*Line*Vial),-0.1065
876,1,5,"UN(6,3)",Anim(Trea*Line*Vial),-0.3031
876,1,5,"UN(6,4)",Anim(Trea*Line*Vial),-0.2164
876,1,5,"UN(6,5)",Anim(Trea*Line*Vial),-0.07214
876,1,5,"UN(6,6)",Anim(Trea*Line*Vial),0.7954
876,1,6,"UN(1,1)",Line,0.3059
876,1,6,"UN(2,1)",Line,-0.02884
876,1,6,"UN(2,2)",Line,0.05169
876,1,6,"UN(3,1)",Line,-0.1176
876,1,6,"UN(3,2)",Line,0.05630
876,1,6,"UN(3,3)",Line,0.1916
876,1,6,"UN(4,1)",Line,-0.01060
876,1,6,"UN(4,2)",Line,-0.03631
876,1,6,"UN(4,3)",Line,0.03192
876,1,6,"UN(4,4)",Line,0.05835
876,1,6,"UN(5,1)",Line,0.01408
876,1,6,"UN(5,2)",Line,0.06607
876,1,6,"UN(5,3)",Line,0.01362
876,1,6,"UN(5,4)",Line,-0.03889
876,1,6,"UN(5,5)",Line,0.1466
876,1,6,"UN(6,1)",Line,-0.00728
876,1,6,"UN(6,2)",Line,-0.03597
876,1,6,"UN(6,3)",Line,-0.1363
876,1,6,"UN(6,4)",Line,-0.01006
876,1,6,"UN(6,5)",Line,0.002882
876,1,6,"UN(6,6)",Line,0.1166
876,1,6,"UN(1,1)",Vial(Treat*Line),0.05467
876,1,6,"UN(2,1)",Vial(Treat*Line),-0.02957
876,1,6,"UN(2,2)",Vial(Treat*Line),0
876,1,6,"UN(3,1)",Vial(Treat*Line),0.004810
876,1,6,"UN(3,2)",Vial(Treat*Line),-0.02512
876,1,6,"UN(3,3)",Vial(Treat*Line),0.02267
876,1,6,"UN(4,1)",Vial(Treat*Line),0.06079
876,1,6,"UN(4,2)",Vial(Treat*Line),-0.00322
876,1,6,"UN(4,3)",Vial(Treat*Line),0.03227
876,1,6,"UN(4,4)",Vial(Treat*Line),0.01633
876,1,6,"UN(5,1)",Vial(Treat*Line),0.01024
876,1,6,"UN(5,2)",Vial(Treat*Line),0.01613
876,1,6,"UN(5,3)",Vial(Treat*Line),-0.00312
876,1,6,"UN(5,4)",Vial(Treat*Line),0.000528
876,1,6,"UN(5,5)",Vial(Treat*Line),0.01344
876,1,6,"UN(6,1)",Vial(Treat*Line),-0.03324
876,1,6,"UN(6,2)",Vial(Treat*Line),0.004451
876,1,6,"UN(6,3)",Vial(Treat*Line),-0.00617
876,1,6,"UN(6,4)",Vial(Treat*Line),-0.02539
876,1,6,"UN(6,5)",Vial(Treat*Line),-0.01884
876,1,6,"UN(6,6)",Vial(Treat*Line),0.04502
876,1,6,"UN(1,1)",Anim(Trea*Line*Vial),0.5407
876,1,6,"UN(2,1)",Anim(Trea*Line*Vial),0.2271
876,1,6,"UN(2,2)",Anim(Trea*Line*Vial),0.8423
876,1,6,"UN(3,1)",Anim(Trea*Line*Vial),0.02931
876,1,6,"UN(3,2)",Anim(Trea*Line*Vial),0.01741
876,1,6,"UN(3,3)",Anim(Trea*Line*Vial),0.7386
876,1,6,"UN(4,1)",Anim(Trea*Line*Vial),0.009588
876,1,6,"UN(4,2)",Anim(Trea*Line*Vial),0.05814
876,1,6,"UN(4,3)",Anim(Trea*Line*Vial),0.02500
876,1,6,"UN(4,4)",Anim(Trea*Line*Vial),0.8004
876,1,6,"UN(5,1)",Anim(Trea*Line*Vial),0.1638
876,1,6,"UN(5,2)",Anim(Trea*Line*Vial),0.5847
876,1,6,"UN(5,3)",Anim(Trea*Line*Vial),-0.2350
876,1,6,"UN(5,4)",Anim(Trea*Line*Vial),0.1252
876,1,6,"UN(5,5)",Anim(Trea*Line*Vial),0.8303
876,1,6,"UN(6,1)",Anim(Trea*Line*Vial),-0.08254
876,1,6,"UN(6,2)",Anim(Trea*Line*Vial),-0.2078
876,1,6,"UN(6,3)",Anim(Trea*Line*Vial),-0.2071
876,1,6,"UN(6,4)",Anim(Trea*Line*Vial),-0.1478
876,1,6,"UN(6,5)",Anim(Trea*Line*Vial),-0.1838
876,1,6,"UN(6,6)",Anim(Trea*Line*Vial),0.7263
876,3,1,"UN(1,1)",Line,0.2815
876,3,1,"UN(2,1)",Line,0.04697
876,3,1,"UN(2,2)",Line,0.1132
876,3,1,"UN(3,1)",Line,-0.06042
876,3,1,"UN(3,2)",Line,-0.02401
876,3,1,"UN(3,3)",Line,0.1882
876,3,1,"UN(4,1)",Line,0.05596
876,3,1,"UN(4,2)",Line,0.04351
876,3,1,"UN(4,3)",Line,0.03879
876,3,1,"UN(4,4)",Line,0.1162
876,3,1,"UN(5,1)",Line,0.02642
876,3,1,"UN(5,2)",Line,0.1278
876,3,1,"UN(5,3)",Line,-0.01529
876,3,1,"UN(5,4)",Line,0.03206
876,3,1,"UN(5,5)",Line,0.1465
876,3,1,"UN(6,1)",Line,0.02184
876,3,1,"UN(6,2)",Line,-0.08076
876,3,1,"UN(6,3)",Line,-0.1317
876,3,1,"UN(6,4)",Line,-0.03716
876,3,1,"UN(6,5)",Line,-0.02446
876,3,1,"UN(6,6)",Line,0.1131
876,3,1,"UN(1,1)",Vial(Treat*Line),0.04513
876,3,1,"UN(2,1)",Vial(Treat*Line),-0.05588
876,3,1,"UN(2,2)",Vial(Treat*Line),0
876,3,1,"UN(3,1)",Vial(Treat*Line),0.01030
876,3,1,"UN(3,2)",Vial(Treat*Line),-0.01549
876,3,1,"UN(3,3)",Vial(Treat*Line),0
876,3,1,"UN(4,1)",Vial(Treat*Line),0.002725
876,3,1,"UN(4,2)",Vial(Treat*Line),-0.01617
876,3,1,"UN(4,3)",Vial(Treat*Line),-0.00648
876,3,1,"UN(4,4)",Vial(Treat*Line),0.007645
876,3,1,"UN(5,1)",Vial(Treat*Line),-0.00660
876,3,1,"UN(5,2)",Vial(Treat*Line),0.004412
876,3,1,"UN(5,3)",Vial(Treat*Line),-0.04786
876,3,1,"UN(5,4)",Vial(Treat*Line),0.003684
876,3,1,"UN(5,5)",Vial(Treat*Line),0.07387
876,3,1,"UN(6,1)",Vial(Treat*Line),-0.06308
876,3,1,"UN(6,2)",Vial(Treat*Line),0.04083
876,3,1,"UN(6,3)",Vial(Treat*Line),-0.03945
876,3,1,"UN(6,4)",Vial(Treat*Line),-0.00434
876,3,1,"UN(6,5)",Vial(Treat*Line),0.03147
876,3,1,"UN(6,6)",Vial(Treat*Line),0.09393
876,3,1,"UN(1,1)",Anim(Trea*Line*Vial),0.5218
876,3,1,"UN(2,1)",Anim(Trea*Line*Vial),0.2152
876,3,1,"UN(2,2)",Anim(Trea*Line*Vial),0.8676
876,3,1,"UN(3,1)",Anim(Trea*Line*Vial),0.02238
876,3,1,"UN(3,2)",Anim(Trea*Line*Vial),0.01612
876,3,1,"UN(3,3)",Anim(Trea*Line*Vial),0.6773
876,3,1,"UN(4,1)",Anim(Trea*Line*Vial),0.06895
876,3,1,"UN(4,2)",Anim(Trea*Line*Vial),-0.03028
876,3,1,"UN(4,3)",Anim(Trea*Line*Vial),-0.05397
876,3,1,"UN(4,4)",Anim(Trea*Line*Vial),0.8531
876,3,1,"UN(5,1)",Anim(Trea*Line*Vial),0.2037
876,3,1,"UN(5,2)",Anim(Trea*Line*Vial),0.5619
876,3,1,"UN(5,3)",Anim(Trea*Line*Vial),-0.1967
876,3,1,"UN(5,4)",Anim(Trea*Line*Vial),0.07516
